Ensembl Gene ID (Human)	Ensembl Gene ID (Mouse)	Human Gene Symbol	PS score (P-value)	PS score (Z-score)	PG classification	Semantic similarity
ENSG00000154153	ENSMUSG00000022270	RETREG1	0.032610229	1.843744	MPG	0.961116
ENSG00000050555	ENSMUSG00000026840	LAMC3	0.032638671	1.843354	MPG	1.071132
ENSG00000197563	ENSMUSG00000056536	PIGN	0.032676699	1.842833	MPG	0.907515
ENSG00000141012	ENSMUSG00000015027	GALNS	0.032697735	1.842545	MPG	1.024896
ENSG00000176387	ENSMUSG00000031891	HSD11B2	0.032878687	1.840074	MPG	1.337546
ENSG00000162998	ENSMUSG00000027004	FRZB	0.03305169	1.837722	MPG	1.464449
ENSG00000172482	ENSMUSG00000026272	AGXT	0.033127688	1.836692	MPG	1.057635
ENSG00000116096	ENSMUSG00000033735	SPR	0.033167885	1.836148	MPG	1.296611
ENSG00000113273	ENSMUSG00000042082	ARSB	0.033248918	1.835053	MPG	1.501995
ENSG00000125454	ENSMUSG00000020744	SLC25A19	0.033277893	1.834662	MPG	1.162884
ENSG00000079435	ENSMUSG00000003123	LIPE	0.033407829	1.832912	MPG	1.616496
ENSG00000151067	ENSMUSG00000051331	CACNA1C	0.033634241	1.829876	MPG	1.615638
ENSG00000164953	ENSMUSG00000049488	TMEM67	0.033717485	1.828764	MPG	1.500596
ENSG00000215612	ENSMUSG00000067438	HMX1	0.03375452	1.82827	MPG	1.198902
ENSG00000084754	ENSMUSG00000025745	HADHA	0.033809384	1.827539	MPG	1.294708
ENSG00000165280	ENSMUSG00000028452	VCP	0.033873422	1.826687	MPG	1.500134
ENSG00000135744	ENSMUSG00000031980	AGT	0.034184802	1.822563	MPG	1.553159
ENSG00000154277	ENSMUSG00000029223	UCHL1	0.034396181	1.819781	MPG	1.552463
ENSG00000010072	ENSMUSG00000031986	SPRTN	0.034574042	1.817451	MPG	1.292478
ENSG00000167522	ENSMUSG00000035569	ANKRD11	0.034780092	1.814764	MPG	1.253748
ENSG00000129667	ENSMUSG00000020806	RHBDF2	0.034794547	1.814576	MPG	1.457226
ENSG00000164932	ENSMUSG00000054196	CTHRC1	0.034968769	1.812315	MPG	1.45652
ENSG00000184381	ENSMUSG00000042632	PLA2G6	0.035240108	1.808812	MPG	1.496157
ENSG00000188690	ENSMUSG00000030979	UROS	0.035269335	1.808436	MPG	1.513328
ENSG00000141378	ENSMUSG00000072582	PTRH2	0.035297025	1.80808	MPG	1.051302
ENSG00000102312	ENSMUSG00000031169	PORCN	0.03540352	1.806713	MPG	1.252101
ENSG00000088256	ENSMUSG00000034781	GNA11	0.035535776	1.80502	MPG	1.329126
ENSG00000158517	ENSMUSG00000015950	NCF1	0.035590578	1.80432	MPG	1.512376
ENSG00000183421	ENSMUSG00000005251	RIPK4	0.036118544	1.797621	MPG	1.288094
ENSG00000114270	ENSMUSG00000025650	COL7A1	0.036173843	1.796924	MPG	1.28794
ENSG00000036473	ENSMUSG00000031173	OTC	0.036414486	1.793901	MPG	1.509969
ENSG00000124588	ENSMUSG00000046949	NQO2	0.036620899	1.791321	MPG	1.200121
ENSG00000139190	ENSMUSG00000030337	VAMP1	0.036829718	1.788723	MPG	1.080546
ENSG00000177030	ENSMUSG00000058886	DEAF1	0.03695622	1.787155	MPG	1.080176
ENSG00000188095	ENSMUSG00000030543	MESP2	0.036963411	1.787066	MPG	1.60354
ENSG00000162551	ENSMUSG00000028766	ALPL	0.037029799	1.786245	MPG	1.491135
ENSG00000092529	ENSMUSG00000079110	CAPN3	0.037217358	1.783932	MPG	1.378994
ENSG00000083799	ENSMUSG00000036712	CYLD	0.037499701	1.780468	MPG	1.675987
ENSG00000133703	ENSMUSG00000030265	KRAS	0.037640133	1.778753	MPG	1.489468
ENSG00000183691	ENSMUSG00000048616	NOG	0.037745471	1.77747	MPG	1.489183
ENSG00000080815	ENSMUSG00000019969	PSEN1	0.037875854	1.775886	MPG	1.48883
ENSG00000163513	ENSMUSG00000032440	TGFBR2	0.037913457	1.77543	MPG	1.2457
ENSG00000152266	ENSMUSG00000059077	PTH	0.038059869	1.773658	MPG	1.37622
ENSG00000174007	ENSMUSG00000035790	CEP19	0.038124214	1.772881	MPG	1.185948
ENSG00000160654	ENSMUSG00000002033	CD3G	0.038197694	1.771995	MPG	1.240072
ENSG00000182621	ENSMUSG00000051177	PLCB1	0.03820973	1.77185	MPG	1.375732
ENSG00000092330	ENSMUSG00000007589	TINF2	0.038488426	1.768503	MPG	1.110761
ENSG00000165458	ENSMUSG00000032737	INPPL1	0.038499534	1.76837	MPG	1.244255
ENSG00000163818	ENSMUSG00000025245	LZTFL1	0.038671592	1.766314	MPG	1.184412
ENSG00000103489	ENSMUSG00000030657	XYLT1	0.03879222	1.764877	MPG	1.24354
ENSG00000010361	ENSMUSG00000011658	FUZ	0.039033466	1.762014	MPG	1.59646
ENSG00000159216	ENSMUSG00000022952	RUNX1	0.039263623	1.759296	MPG	1.53733
ENSG00000105048	ENSMUSG00000064179	TNNT1	0.039427382	1.75737	MPG	1.182321
ENSG00000197969	ENSMUSG00000046230	VPS13A	0.039482859	1.756719	MPG	1.279051
ENSG00000170275	ENSMUSG00000032431	CRTAP	0.039570421	1.755693	MPG	1.145769
ENSG00000137364	ENSMUSG00000021376	TPMT	0.039572899	1.755664	MPG	1.045885
ENSG00000108557	ENSMUSG00000062115	RAI1	0.039608448	1.755248	MPG	1.484238
ENSG00000149418	ENSMUSG00000031995	ST14	0.039693583	1.754253	MPG	1.536069
ENSG00000116288	ENSMUSG00000028964	PARK7	0.039712084	1.754037	MPG	1.594206
ENSG00000111713	ENSMUSG00000030244	GYS2	0.039726907	1.753864	MPG	1.370875
ENSG00000167286	ENSMUSG00000032094	CD3D	0.039798686	1.753027	MPG	0.982646
ENSG00000148400	ENSMUSG00000026923	NOTCH1	0.04015035	1.748944	MPG	1.499578
ENSG00000106105	ENSMUSG00000029777	GARS	0.040313205	1.747063	MPG	1.499144
ENSG00000130402	ENSMUSG00000054808	ACTN4	0.04035563	1.746574	MPG	1.664777
ENSG00000104812	ENSMUSG00000003865	GYS1	0.040510019	1.744798	MPG	1.435448
ENSG00000136352	ENSMUSG00000001496	NKX2-1	0.040596026	1.743811	MPG	1.498392
ENSG00000120725	ENSMUSG00000024357	SIL1	0.040659908	1.743079	MPG	0.908832
ENSG00000090534	ENSMUSG00000022847	THPO	0.040984411	1.739375	MPG	0.979162
ENSG00000164116	ENSMUSG00000033910	GUCY1A3	0.041119065	1.737845	MPG	1.231131
ENSG00000176842	ENSMUSG00000031737	IRX5	0.04113872	1.737622	MPG	0.884814
ENSG00000070748	ENSMUSG00000021919	CHAT	0.041464365	1.73394	MPG	1.274015
ENSG00000277586	ENSMUSG00000022055	NEFL	0.041558767	1.732877	MPG	1.103603
ENSG00000187079	ENSMUSG00000055320	TEAD1	0.041793792	1.730239	MPG	1.430905
ENSG00000117020	ENSMUSG00000019699	AKT3	0.042201419	1.725692	MPG	1.310071
ENSG00000267534	ENSMUSG00000043895	S1PR2	0.042250582	1.725146	MPG	1.65769
ENSG00000096968	ENSMUSG00000024789	JAK2	0.042407294	1.723409	MPG	1.493677
ENSG00000169432	ENSMUSG00000075316	SCN9A	0.042439109	1.723057	MPG	1.234983
ENSG00000166863	ENSMUSG00000025400	TAC3	0.042485148	1.722548	MPG	1.293602
ENSG00000198835	ENSMUSG00000043448	GJC2	0.042634214	1.720903	MPG	1.101197
ENSG00000068615	ENSMUSG00000052852	REEP1	0.042749223	1.719637	MPG	1.064234
ENSG00000116039	ENSMUSG00000006269	ATP6V1B1	0.043267761	1.713963	MPG	1.177156
ENSG00000168280	ENSMUSG00000026764	KIF5C	0.04343866	1.712105	MPG	0.930269
ENSG00000103241	ENSMUSG00000042812	FOXF1	0.043618053	1.710161	MPG	1.490615
ENSG00000138686	ENSMUSG00000037325	BBS7	0.04367826	1.70951	MPG	1.424435
ENSG00000069329	ENSMUSG00000031696	VPS35	0.043799898	1.708197	MPG	1.11085
ENSG00000077150	ENSMUSG00000025225	NFKB2	0.04429152	1.70292	MPG	1.523226
ENSG00000069974	ENSMUSG00000032202	RAB27A	0.044298914	1.702841	MPG	1.523206
ENSG00000112541	ENSMUSG00000023868	PDE10A	0.044500419	1.700692	MPG	1.304066
ENSG00000165506	ENSMUSG00000020973	DNAAF2	0.044604036	1.69959	MPG	1.356219
ENSG00000188906	ENSMUSG00000036273	LRRK2	0.044631807	1.699295	MPG	1.522319
ENSG00000175054	ENSMUSG00000032409	ATR	0.044683809	1.698743	MPG	1.471666
ENSG00000106799	ENSMUSG00000007613	TGFBR1	0.044763979	1.697893	MPG	1.471477
ENSG00000149311	ENSMUSG00000034218	ATM	0.045152027	1.693796	MPG	1.470565
ENSG00000176697	ENSMUSG00000048482	BDNF	0.045482515	1.690329	MPG	1.520076
ENSG00000204539	ENSMUSG00000039518	CDSN	0.045529859	1.689834	MPG	1.166526
ENSG00000118137	ENSMUSG00000032083	APOA1	0.046521186	1.679563	MPG	1.164124
ENSG00000144455	ENSMUSG00000030101	SUMF1	0.046533648	1.679435	MPG	1.226057
ENSG00000172037	ENSMUSG00000052911	LAMB2	0.046777597	1.676935	MPG	1.516725
ENSG00000141385	ENSMUSG00000024527	AFG3L2	0.047133929	1.673302	MPG	1.466005
ENSG00000196569	ENSMUSG00000019899	LAMA2	0.047452659	1.670071	MPG	1.515007
ENSG00000156313	ENSMUSG00000031174	RPGR	0.04784207	1.666147	MPG	1.259027
ENSG00000147894	ENSMUSG00000028300	C9orf72	0.047947899	1.665085	MPG	1.258793
ENSG00000088926	ENSMUSG00000031645	F11	0.048293592	1.661629	MPG	1.018812
ENSG00000183454	ENSMUSG00000059003	GRIN2A	0.048517608	1.6594	MPG	1.294147
ENSG00000171595	ENSMUSG00000034706	DNAI2	0.048917639	1.65544	MPG	0.957741
ENSG00000103313	ENSMUSG00000022534	MEFV	0.048967117	1.654952	MPG	1.477856
ENSG00000151729	ENSMUSG00000031633	SLC25A4	0.049572281	1.649015	MPG	1.25524
ENSG00000171560	ENSMUSG00000028001	FGA	0.049878483	1.646033	MPG	1.290936
ENSG00000100578	ENSMUSG00000034601	KIAA0586	0.050472546	1.640289	MPG	1.084999
ENSG00000134569	ENSMUSG00000027253	LRP4	0.0507194	1.637918	MPG	1.473919
ENSG00000111799	ENSMUSG00000032332	COL12A1	0.051061639	1.634646	MPG	1.288201
ENSG00000258947	ENSMUSG00000062380	TUBB3	0.051126906	1.634024	MPG	1.1194
ENSG00000176225	ENSMUSG00000023066	RTTN	0.051998764	1.625775	MPG	1.151544
ENSG00000079215	ENSMUSG00000005360	SLC1A3	0.052017281	1.625601	MPG	1.33624
ENSG00000112246	ENSMUSG00000019913	SIM1	0.052184596	1.624031	MPG	1.624247
ENSG00000183765	ENSMUSG00000029521	CHEK2	0.052314693	1.622813	MPG	1.041372
ENSG00000135069	ENSMUSG00000024640	PSAT1	0.05242748	1.621759	MPG	0.88194
ENSG00000204386	ENSMUSG00000007038	NEU1	0.052463583	1.621422	MPG	1.454462
ENSG00000114353	ENSMUSG00000032562	GNAI2	0.052629136	1.619879	MPG	1.622874
ENSG00000166949	ENSMUSG00000032402	SMAD3	0.05265041	1.619681	MPG	1.454074
ENSG00000106128	ENSMUSG00000004654	GHRHR	0.053129149	1.615242	MPG	1.62134
ENSG00000156515	ENSMUSG00000037012	HK1	0.053572863	1.611156	MPG	1.24687
ENSG00000168036	ENSMUSG00000006932	CTNNB1	0.053737252	1.609649	MPG	1.467385
ENSG00000187017	ENSMUSG00000028943	ESPN	0.053846229	1.608652	MPG	1.61916
ENSG00000135903	ENSMUSG00000004872	PAX3	0.054391752	1.603685	MPG	1.450515
ENSG00000198198	ENSMUSG00000033253	SZT2	0.055022267	1.597993	MPG	1.035512
ENSG00000117595	ENSMUSG00000026638	IRF6	0.055408912	1.594528	MPG	1.463891
ENSG00000157540	ENSMUSG00000022897	DYRK1A	0.055685612	1.59206	MPG	1.277971
ENSG00000090674	ENSMUSG00000004567	MCOLN1	0.055763278	1.591369	MPG	1.463161
ENSG00000096996	ENSMUSG00000000791	IL12RB1	0.055778349	1.591235	MPG	1.140723
ENSG00000087299	ENSMUSG00000020988	L2HGDH	0.055880107	1.590331	MPG	1.10993
ENSG00000120903	ENSMUSG00000022041	CHRNA2	0.056856981	1.581718	MPG	0.995805
ENSG00000204262	ENSMUSG00000026042	COL5A2	0.056947937	1.580922	MPG	1.240186
ENSG00000137869	ENSMUSG00000032274	CYP19A1	0.056977899	1.58066	MPG	1.545211
ENSG00000047579	ENSMUSG00000057531	DTNBP1	0.057108073	1.579523	MPG	1.54489
ENSG00000161904	ENSMUSG00000044857	LEMD2	0.057533531	1.575821	MPG	1.382712
ENSG00000157423	ENSMUSG00000059854	HYDIN	0.05773991	1.574033	MPG	1.543338
ENSG00000159958	ENSMUSG00000068105	TNFRSF13C	0.057959739	1.572134	MPG	1.321802
ENSG00000215644	ENSMUSG00000025127	GCGR	0.058179295	1.570243	MPG	1.606457
ENSG00000258839	ENSMUSG00000074037	MC1R	0.058943666	1.563703	MPG	1.27116
ENSG00000140675	ENSMUSG00000030781	SLC5A2	0.059031943	1.562952	MPG	1.540207
ENSG00000165731	ENSMUSG00000030110	RET	0.059325844	1.560458	MPG	1.440897
ENSG00000146085	ENSMUSG00000023921	MUT	0.059515115	1.558857	MPG	1.455647
ENSG00000178445	ENSMUSG00000024827	GLDC	0.059690502	1.557377	MPG	1.23498
ENSG00000170893	ENSMUSG00000005892	TRH	0.060072532	1.554165	MPG	1.070644
ENSG00000087266	ENSMUSG00000054520	SH3BP2	0.060102824	1.553911	MPG	1.485946
ENSG00000118402	ENSMUSG00000032262	ELOVL4	0.061033328	1.546157	MPG	1.437715
ENSG00000157933	ENSMUSG00000029050	SKI	0.061034173	1.54615	MPG	1.437714
ENSG00000186716	ENSMUSG00000009681	BCR	0.061124891	1.545399	MPG	1.373217
ENSG00000001631	ENSMUSG00000000600	KRIT1	0.061178937	1.544952	MPG	1.266655
ENSG00000168477	ENSMUSG00000033327	TNXB	0.061615083	1.541356	MPG	0.992263
ENSG00000088053	ENSMUSG00000078810	GP6	0.061958074	1.538542	MPG	1.066566
ENSG00000127616	ENSMUSG00000032187	SMARCA4	0.062188541	1.536658	MPG	1.264663
ENSG00000179295	ENSMUSG00000043733	PTPN11	0.062444743	1.53457	MPG	1.435137
ENSG00000160957	ENSMUSG00000033762	RECQL4	0.06291028	1.530793	MPG	1.434297
ENSG00000179915	ENSMUSG00000024109	NRXN1	0.063571703	1.525464	MPG	1.261974
ENSG00000152977	ENSMUSG00000032368	ZIC1	0.063683941	1.524564	MPG	1.261758
ENSG00000138375	ENSMUSG00000039354	SMARCAL1	0.063686687	1.524542	MPG	1.061742
ENSG00000141013	ENSMUSG00000040220	GAS8	0.064104075	1.521206	MPG	1.062041
ENSG00000133392	ENSMUSG00000018830	MYH11	0.064131048	1.520991	MPG	1.528349
ENSG00000197283	ENSMUSG00000067629	SYNGAP1	0.064257373	1.519985	MPG	1.477458
ENSG00000101327	ENSMUSG00000027400	PDYN	0.064403276	1.518825	MPG	1.260379
ENSG00000117479	ENSMUSG00000040918	SLC19A2	0.064429843	1.518614	MPG	1.226411
ENSG00000103249	ENSMUSG00000036636	CLCN7	0.064464858	1.518336	MPG	1.446282
ENSG00000225830	ENSMUSG00000054051	ERCC6	0.064502788	1.518035	MPG	1.19303
ENSG00000091409	ENSMUSG00000027111	ITGA6	0.06485316	1.515261	MPG	1.09366
ENSG00000124486	ENSMUSG00000031010	USP9X	0.065236918	1.512236	MPG	0.985818
ENSG00000145335	ENSMUSG00000025889	SNCA	0.065512016	1.510076	MPG	1.224523
ENSG00000166250	ENSMUSG00000032024	CLMP	0.066122455	1.505308	MPG	0.973806
ENSG00000174405	ENSMUSG00000049717	LIG4	0.06706078	1.498045	MPG	1.582578
ENSG00000118046	ENSMUSG00000003068	STK11	0.067147465	1.497378	MPG	1.441438
ENSG00000144647	ENSMUSG00000066235	POMGNT2	0.067178677	1.497138	MPG	1.055759
ENSG00000115904	ENSMUSG00000024241	SOS1	0.067547437	1.494309	MPG	1.440729
ENSG00000123454	ENSMUSG00000000889	DBH	0.067631077	1.493669	MPG	1.300614
ENSG00000163666	ENSMUSG00000040726	HESX1	0.068510971	1.486973	MPG	1.469199
ENSG00000054282	ENSMUSG00000026504	SDCCAG8	0.068681892	1.48568	MPG	1.438735
ENSG00000197822	ENSMUSG00000021638	OCLN	0.069756366	1.477608	MPG	1.184758
ENSG00000133424	ENSMUSG00000004383	LARGE1	0.069842108	1.476968	MPG	1.422321
ENSG00000177469	ENSMUSG00000004044	CAVIN1	0.070129396	1.474828	MPG	1.184189
ENSG00000135541	ENSMUSG00000019986	AHI1	0.070176199	1.47448	MPG	1.216653
ENSG00000185532	ENSMUSG00000052920	PRKG1	0.070576758	1.471509	MPG	1.573801
ENSG00000106477	ENSMUSG00000029790	CEP41	0.070897275	1.469141	MPG	1.005088
ENSG00000181523	ENSMUSG00000005043	SGSH	0.071115967	1.46753	MPG	1.43454
ENSG00000174358	ENSMUSG00000021565	SLC6A19	0.071601346	1.463968	MPG	1.082543
ENSG00000008056	ENSMUSG00000037217	SYN1	0.071609134	1.463911	MPG	1.292578
ENSG00000140463	ENSMUSG00000025235	BBS4	0.071672553	1.463447	MPG	1.463313
ENSG00000157152	ENSMUSG00000009394	SYN2	0.07170934	1.463178	MPG	1.29238
ENSG00000156973	ENSMUSG00000026239	PDE6D	0.071803081	1.462493	MPG	1.113356
ENSG00000111262	ENSMUSG00000047976	KCNA1	0.072210195	1.459526	MPG	1.462332
ENSG00000166311	ENSMUSG00000037049	SMPD1	0.073101327	1.453076	MPG	1.417004
ENSG00000154646	ENSMUSG00000022857	TMPRSS15	0.073236762	1.452101	MPG	1.212261
ENSG00000171105	ENSMUSG00000005534	INSR	0.073698119	1.44879	MPG	1.178861
ENSG00000161270	ENSMUSG00000006649	NPHS1	0.07387553	1.447521	MPG	1.210693
ENSG00000116906	ENSMUSG00000031985	GNPAT	0.07394146	1.44705	MPG	1.210589
ENSG00000107187	ENSMUSG00000026934	LHX3	0.074068128	1.446146	MPG	1.507198
ENSG00000177666	ENSMUSG00000025509	PNPLA2	0.074074718	1.446099	MPG	1.429587
ENSG00000081248	ENSMUSG00000026407	CACNA1S	0.074246359	1.444876	MPG	1.458667
ENSG00000125875	ENSMUSG00000027465	TBC1D20	0.07456786	1.442591	MPG	1.209603
ENSG00000156052	ENSMUSG00000024639	GNAQ	0.075274926	1.437592	MPG	1.240867
ENSG00000144381	ENSMUSG00000025980	HSPD1	0.075825235	1.433726	MPG	1.075989
ENSG00000204104	ENSMUSG00000034292	TRAF3IP1	0.07591063	1.433128	MPG	0.996585
ENSG00000138435	ENSMUSG00000027107	CHRNA1	0.076226715	1.430919	MPG	0.93852
ENSG00000122877	ENSMUSG00000037868	EGR2	0.076547252	1.428686	MPG	1.411578
ENSG00000139193	ENSMUSG00000030336	CD27	0.076549552	1.42867	MPG	0.995532
ENSG00000114859	ENSMUSG00000022843	CLCN2	0.076598305	1.428331	MPG	1.454528
ENSG00000163755	ENSMUSG00000027615	HPS3	0.076613841	1.428223	MPG	1.205079
ENSG00000100285	ENSMUSG00000020396	NEFH	0.076971414	1.425742	MPG	0.966672
ENSG00000137462	ENSMUSG00000027995	TLR2	0.077353294	1.423102	MPG	1.500686
ENSG00000100427	ENSMUSG00000035805	MLC1	0.077579917	1.42154	MPG	1.103779
ENSG00000166086	ENSMUSG00000031990	JAM3	0.0776908	1.420777	MPG	1.452638
ENSG00000130595	ENSMUSG00000061723	TNNT3	0.077812284	1.419942	MPG	1.073001
ENSG00000261609	ENSMUSG00000052557	GAN	0.077955485	1.418959	MPG	1.204379
ENSG00000121957	ENSMUSG00000027883	GPSM2	0.07797123	1.418851	MPG	1.236365
ENSG00000137700	ENSMUSG00000032114	SLC37A4	0.078613002	1.414463	MPG	1.408413
ENSG00000086758	ENSMUSG00000025261	HUWE1	0.078613589	1.414459	MPG	1.146466
ENSG00000104365	ENSMUSG00000031537	IKBKB	0.078766281	1.413419	MPG	1.278944
ENSG00000169562	ENSMUSG00000047797	GJB1	0.079053627	1.411466	MPG	1.039021
ENSG00000134812	ENSMUSG00000024682	GIF	0.079096215	1.411177	MPG	1.234522
ENSG00000128591	ENSMUSG00000068699	FLNC	0.079148995	1.410819	MPG	1.202579
ENSG00000143801	ENSMUSG00000010609	PSEN2	0.079223936	1.410311	MPG	1.033095
ENSG00000125779	ENSMUSG00000037514	PANK2	0.079309564	1.409731	MPG	1.038673
ENSG00000082175	ENSMUSG00000031870	PGR	0.079438728	1.408857	MPG	1.55308
ENSG00000119655	ENSMUSG00000021242	NPC2	0.079753288	1.406733	MPG	1.420489
ENSG00000172936	ENSMUSG00000032508	MYD88	0.079938256	1.405487	MPG	1.495708
ENSG00000204120	ENSMUSG00000048000	GIGYF2	0.080236578	1.403482	MPG	1.197637
ENSG00000152457	ENSMUSG00000026648	DCLRE1C	0.080293958	1.403097	MPG	1.419649
ENSG00000171953	ENSMUSG00000042709	ATPAF2	0.08054635	1.401406	MPG	0.833094
ENSG00000030582	ENSMUSG00000034708	GRN	0.080852528	1.39936	MPG	1.405053
ENSG00000106331	ENSMUSG00000029706	PAX4	0.080980136	1.398509	MPG	1.14229
ENSG00000110911	ENSMUSG00000023030	SLC11A2	0.081042571	1.398093	MPG	1.54952
ENSG00000101311	ENSMUSG00000027356	FERMT1	0.082305289	1.389731	MPG	1.22937
ENSG00000104884	ENSMUSG00000030400	ERCC2	0.083446095	1.382259	MPG	1.401248
ENSG00000156150	ENSMUSG00000014603	ALX3	0.083684226	1.380709	MPG	1.16493
ENSG00000159363	ENSMUSG00000036622	ATP13A2	0.083882494	1.379421	MPG	1.195638
ENSG00000162430	ENSMUSG00000050989	SELENON	0.084240975	1.377098	MPG	1.400099
ENSG00000113721	ENSMUSG00000024620	PDGFRB	0.085061141	1.371811	MPG	1.398923
ENSG00000155980	ENSMUSG00000074657	KIF5A	0.08552199	1.368857	MPG	0.954081
ENSG00000009724	ENSMUSG00000028979	MASP2	0.085553571	1.368655	MPG	0.934463
ENSG00000102081	ENSMUSG00000000838	FMR1	0.086226359	1.364365	MPG	1.397266
ENSG00000003137	ENSMUSG00000063415	CYP26B1	0.086292281	1.363946	MPG	1.483969
ENSG00000126351	ENSMUSG00000058756	THRA	0.086351155	1.363572	MPG	1.438326
ENSG00000139083	ENSMUSG00000030199	ETV6	0.086399189	1.363267	MPG	1.133064
ENSG00000154134	ENSMUSG00000032128	ROBO3	0.086817378	1.360617	MPG	1.184745
ENSG00000196924	ENSMUSG00000031328	FLNA	0.08696703	1.359671	MPG	1.396222
ENSG00000108556	ENSMUSG00000014609	CHRNE	0.087473406	1.356479	MPG	1.159972
ENSG00000035403	ENSMUSG00000021823	VCL	0.087631383	1.355486	MPG	1.535428
ENSG00000147316	ENSMUSG00000039842	MCPH1	0.088242053	1.35166	MPG	1.480497
ENSG00000087245	ENSMUSG00000031740	MMP2	0.088496605	1.350071	MPG	1.394086
ENSG00000145715	ENSMUSG00000021549	RASA1	0.088580186	1.34955	MPG	1.312094
ENSG00000132639	ENSMUSG00000027273	SNAP25	0.089069371	1.346508	MPG	1.434057
ENSG00000170421	ENSMUSG00000049382	KRT8	0.089699145	1.34261	MPG	1.259823
ENSG00000068438	ENSMUSG00000031171	FTSJ1	0.089806428	1.341948	MPG	0.877733
ENSG00000148408	ENSMUSG00000004113	CACNA1B	0.089829777	1.341804	MPG	1.43288
ENSG00000145354	ENSMUSG00000028165	CISD2	0.090723331	1.336314	MPG	1.476161
ENSG00000139132	ENSMUSG00000022788	FGD4	0.09114913	1.333712	MPG	0.946301
ENSG00000134595	ENSMUSG00000045179	SOX3	0.091493202	1.331616	MPG	1.474833
ENSG00000178573	ENSMUSG00000055435	MAF	0.09159138	1.331019	MPG	1.389847
ENSG00000140459	ENSMUSG00000032323	CYP11A1	0.09224971	1.327028	MPG	1.526015
ENSG00000125675	ENSMUSG00000001986	GRIA3	0.092285771	1.32681	MPG	1.081624
ENSG00000115486	ENSMUSG00000053460	GGCX	0.093285697	1.32079	MPG	0.838572
ENSG00000166341	ENSMUSG00000036862	DCHS1	0.093535421	1.319294	MPG	1.387238
ENSG00000177697	ENSMUSG00000025510	CD151	0.093584556	1.319	MPG	1.471268
ENSG00000121742	ENSMUSG00000040055	GJB6	0.093806568	1.317673	MPG	1.399906
ENSG00000105221	ENSMUSG00000004056	AKT2	0.093838388	1.317483	MPG	1.212015
ENSG00000187535	ENSMUSG00000024169	IFT140	0.093912106	1.317043	MPG	1.39976
ENSG00000197121	ENSMUSG00000073678	PGAP1	0.094566878	1.313146	MPG	1.469614
ENSG00000132842	ENSMUSG00000021686	AP3B1	0.094628546	1.31278	MPG	1.385789
ENSG00000134242	ENSMUSG00000027843	PTPN22	0.094633433	1.312751	MPG	1.398768
ENSG00000133812	ENSMUSG00000038371	SBF2	0.094959968	1.310816	MPG	0.941233
ENSG00000171608	ENSMUSG00000039936	PIK3CD	0.095380702	1.30833	MPG	1.468253
ENSG00000130489	ENSMUSG00000091780	SCO2	0.095382397	1.30832	MPG	0.967116
ENSG00000006071	ENSMUSG00000040136	ABCC8	0.095727658	1.306286	MPG	0.912367
ENSG00000242110	ENSMUSG00000022244	AMACR	0.095763697	1.306074	MPG	1.048323
ENSG00000163359	ENSMUSG00000048126	COL6A3	0.095973838	1.304839	MPG	1.017597
ENSG00000116127	ENSMUSG00000063810	ALMS1	0.096019484	1.304571	MPG	1.383962
ENSG00000204406	ENSMUSG00000036792	MBD5	0.096085086	1.304186	MPG	1.383876
ENSG00000160323	ENSMUSG00000014852	ADAMTS13	0.096434095	1.302141	MPG	1.075854
ENSG00000083168	ENSMUSG00000031540	KAT6A	0.096706094	1.300551	MPG	1.395949
ENSG00000157796	ENSMUSG00000037890	WDR19	0.097174254	1.297822	MPG	1.38246
ENSG00000143575	ENSMUSG00000027944	HAX1	0.097226508	1.297518	MPG	1.465197
ENSG00000141522	ENSMUSG00000025132	ARHGDIA	0.098075412	1.292596	MPG	1.420569
ENSG00000090006	ENSMUSG00000040488	LTBP4	0.098133213	1.292262	MPG	1.394033
ENSG00000181541	ENSMUSG00000057777	MAB21L2	0.098146023	1.292188	MPG	1.073527
ENSG00000162512	ENSMUSG00000025743	SDC3	0.098905359	1.287814	MPG	1.05065
ENSG00000188778	ENSMUSG00000031489	ADRB3	0.098905359	1.287814	MPG	1.05065
ENSG00000166548	ENSMUSG00000035824	TK2	0.099115128	1.28661	MPG	1.175119
ENSG00000189067	ENSMUSG00000022500	LITAF	0.099584099	1.283925	MPG	0.961356
ENSG00000057593	ENSMUSG00000031443	F7	0.099933952	1.281928	MPG	1.111769
ENSG00000130675	ENSMUSG00000001566	MNX1	0.100730356	1.277401	MPG	1.173083
ENSG00000101986	ENSMUSG00000031378	ABCD1	0.10124898	1.274467	MPG	1.172434
ENSG00000151849	ENSMUSG00000064128	CENPJ	0.101464139	1.273253	MPG	1.41573
ENSG00000135297	ENSMUSG00000032342	MTO1	0.101655474	1.272175	MPG	1.171928
ENSG00000083720	ENSMUSG00000022186	OXCT1	0.101988182	1.270304	MPG	1.045452
ENSG00000163581	ENSMUSG00000027690	SLC2A2	0.102006699	1.2702	MPG	1.171491
ENSG00000198400	ENSMUSG00000028072	NTRK1	0.102030205	1.270068	MPG	1.388904
ENSG00000100146	ENSMUSG00000033006	SOX10	0.102066717	1.269863	MPG	1.376239
ENSG00000256269	ENSMUSG00000032126	HMBS	0.102146366	1.269416	MPG	1.040378
ENSG00000117118	ENSMUSG00000009863	SDHB	0.102217679	1.269016	MPG	0.783706
